day,0,1,2,Sentiment,Sentiment_diff,strong_positive
2021-02-05,433,711,129,Positive,304,0
2021-02-06,862,1393,218,Positive,644,1
2021-02-07,982,1124,195,Positive,787,1
2021-02-08,1722,2475,393,Positive,1329,1
2021-02-09,1247,1875,290,Positive,957,1
2021-02-10,977,1444,274,Positive,703,1
2021-02-13,622,1069,153,Positive,469,1
2021-02-14,1545,1436,244,Positive,1301,1
2021-02-15,2250,1305,248,Positive,2002,1
2021-02-18,636,938,173,Positive,463,1
2021-02-19,1267,1966,380,Positive,887,0
2021-02-22,936,1493,299,Positive,637,0
2021-02-28,460,684,147,Positive,313,0
2021-03-11,60,91,12,Positive,48,1
2021-03-12,1082,1536,300,Positive,782,1
2021-04-05,465,848,201,Positive,264,0
2021-04-06,867,1330,490,Positive,377,0
2021-04-07,1042,1457,515,Positive,527,0
2021-04-08,915,1384,323,Positive,592,0
2021-04-09,762,1467,256,Positive,506,0
2021-04-10,979,1470,279,Positive,700,1
2021-04-11,465,764,152,Positive,313,0
2021-04-12,482,675,153,Positive,329,0
2021-04-17,146,142,19,Positive,127,1
2021-04-18,1977,1849,628,Positive,1349,0
2021-04-19,1730,1660,480,Positive,1250,1
2021-04-20,1829,1646,613,Positive,1216,0
2021-04-21,1890,1558,606,Positive,1284,0
2021-04-22,2359,1838,649,Positive,1710,1
2021-04-23,2663,2106,746,Positive,1917,1
2021-04-24,1832,1355,427,Positive,1405,1
2021-05-25,1314,940,303,Positive,1011,1
2021-05-26,2296,1727,504,Positive,1792,1
2021-05-27,2024,1519,463,Positive,1561,1
2021-05-28,2292,1632,866,Positive,1426,0
2021-05-29,1840,1421,755,Positive,1085,0
2021-06-20,3453,3046,1091,Positive,2362,0
2021-06-21,15773,13942,5898,Positive,9875,0
2021-06-22,18245,16701,6548,Positive,11697,0
2021-06-23,11739,9727,3632,Positive,8107,0
2021-07-02,7626,6138,1956,Positive,5670,1
2021-07-03,9908,8110,2528,Positive,7380,1
2021-07-04,9741,8277,2162,Positive,7579,1
2021-07-05,11122,8951,2481,Positive,8641,1
2021-07-16,591,340,179,Positive,412,0
2021-07-17,6626,5010,1610,Positive,5016,1
2021-07-18,9198,7096,2903,Positive,6295,0
2021-07-19,10976,9099,3392,Positive,7584,0
2021-07-20,12670,11131,4044,Positive,8626,0
2021-07-21,16036,13357,4728,Positive,11308,0
2021-07-22,12960,10041,3242,Positive,9718,1
2021-07-23,19245,15202,4534,Positive,14711,1
2021-07-24,13244,11002,3017,Positive,10227,1
2021-07-25,5089,3815,1079,Positive,4010,1
2021-07-26,8863,14301,2733,Positive,6130,0
2021-07-27,6297,4682,1512,Positive,4785,1
2021-07-28,6704,5338,1938,Positive,4766,0
2021-07-29,5901,4912,1475,Positive,4426,1
2021-07-30,15054,13693,4490,Positive,10564,0
2021-08-04,699,659,180,Positive,519,1
2021-08-05,5209,4741,1331,Positive,3878,1
2021-08-06,6734,5898,1567,Positive,5167,1
2021-08-07,5404,4899,1283,Positive,4121,1
2021-08-08,14324,12297,3512,Positive,10812,1
2021-08-09,19908,18029,4715,Positive,15193,1
2021-08-14,5891,4429,1116,Positive,4775,1
2021-08-15,11233,9827,2936,Positive,8297,1
2021-08-16,12609,10763,3238,Positive,9371,1
2021-08-17,13137,10658,3515,Positive,9622,1
2021-08-18,13421,12054,3707,Positive,9714,1
2021-08-19,13716,11996,3557,Positive,10159,1
2021-08-20,17271,13798,3737,Positive,13534,1
2021-08-21,4590,3853,1014,Positive,3576,1
2021-08-23,4289,3690,999,Positive,3290,1
2021-08-24,10545,8865,2558,Positive,7987,1
2021-08-25,14234,11676,3470,Positive,10764,1
2021-08-26,14298,11728,3512,Positive,10786,1
2021-09-10,9179,7373,2852,Positive,6327,0
2021-10-18,8821,7441,2960,Positive,5861,0
2021-10-19,24387,21658,7361,Positive,17026,0
2021-10-20,13815,11211,4081,Positive,9734,0
2021-10-21,16273,13437,5568,Positive,10705,0
2021-10-22,19295,17086,5769,Positive,13526,0
2021-10-23,14585,11917,4047,Positive,10538,1
2021-10-27,7120,6505,2291,Positive,4829,0
2021-10-28,13134,12130,3998,Positive,9136,0
