date,symbol,side,type,order_class,qty,time_in_force,extended_hours,running_total
2021-08-19,BTC/USD,BUY,MARKET,SIMPLE,0.01,gtc,False,0.01
2021-08-20,BTC/USD,BUY,MARKET,SIMPLE,0.01,gtc,False,0.02
2021-08-21,BTC/USD,BUY,MARKET,SIMPLE,0.01,gtc,False,0.03
2021-08-23,BTC/USD,BUY,MARKET,SIMPLE,0.01,gtc,False,0.04
2021-08-24,BTC/USD,BUY,MARKET,SIMPLE,0.01,gtc,False,0.05
2021-08-25,BTC/USD,BUY,MARKET,SIMPLE,0.01,gtc,False,0.060000000000000005
2021-08-26,BTC/USD,BUY,MARKET,SIMPLE,0.01,gtc,False,0.07
2021-10-23,BTC/USD,BUY,MARKET,SIMPLE,0.01,gtc,False,0.08
2021-11-11,BTC/USD,BUY,MARKET,SIMPLE,0.01,gtc,False,0.09
2021-11-25,BTC/USD,BUY,MARKET,SIMPLE,0.01,gtc,False,0.09999999999999999
2021-12-17,BTC/USD,BUY,MARKET,SIMPLE,0.01,gtc,False,0.10999999999999999
2022-01-11,BTC/USD,BUY,MARKET,SIMPLE,0.01,gtc,False,0.11999999999999998
2022-01-12,BTC/USD,BUY,MARKET,SIMPLE,0.01,gtc,False,0.12999999999999998
2022-01-13,BTC/USD,BUY,MARKET,SIMPLE,0.01,gtc,False,0.13999999999999999
2022-01-14,BTC/USD,BUY,MARKET,SIMPLE,0.01,gtc,False,0.15
2022-01-19,BTC/USD,BUY,MARKET,SIMPLE,0.01,gtc,False,0.16
2022-01-21,BTC/USD,SELL,MARKET,SIMPLE,0.01,gtc,False,0.15
2022-01-22,BTC/USD,SELL,MARKET,SIMPLE,0.01,gtc,False,0.13999999999999999
2022-02-09,BTC/USD,SELL,MARKET,SIMPLE,0.01,gtc,False,0.12999999999999998
2022-02-14,BTC/USD,SELL,MARKET,SIMPLE,0.01,gtc,False,0.11999999999999998
2022-02-16,BTC/USD,SELL,MARKET,SIMPLE,0.01,gtc,False,0.10999999999999999
2022-02-18,BTC/USD,SELL,MARKET,SIMPLE,0.01,gtc,False,0.09999999999999999
2022-03-02,BTC/USD,SELL,MARKET,SIMPLE,0.01,gtc,False,0.09
2022-03-06,BTC/USD,SELL,MARKET,SIMPLE,0.01,gtc,False,0.08
2022-03-07,BTC/USD,SELL,MARKET,SIMPLE,0.01,gtc,False,0.07
2022-03-09,BTC/USD,SELL,MARKET,SIMPLE,0.01,gtc,False,0.060000000000000005
2022-03-10,BTC/USD,SELL,MARKET,SIMPLE,0.01,gtc,False,0.05
2022-03-14,BTC/USD,SELL,MARKET,SIMPLE,0.01,gtc,False,0.04
2022-04-17,BTC/USD,SELL,MARKET,SIMPLE,0.01,gtc,False,0.03
2022-04-18,BTC/USD,SELL,MARKET,SIMPLE,0.01,gtc,False,0.019999999999999997
